Source,Destination,Capacity
185,194,1
4,119,1
105,171,1
43,110,1
197,168,1
29,32,2
178,11,2
115,71,2
129,155,2
176,87,1
127,45,1
27,107,1
33,38,2
187,96,2
140,164,2
199,70,1
98,23,1
81,199,2
88,95,1
188,182,1
191,187,2
63,38,2
143,30,1
46,134,1
158,46,1
90,140,2
124,53,2
110,118,2
196,158,2
108,45,2
134,183,2
113,160,1
0,103,2
74,52,2
166,135,2
30,125,1
101,5,1
153,52,2
99,81,2
165,26,2
98,36,2
16,83,1
189,154,1
163,102,1
132,114,1
2,184,1
136,4,1
195,90,1
153,173,2
59,166,1
191,56,1
156,98,2
134,196,1
74,65,1
60,130,1
146,170,2
92,199,1
52,126,2
126,75,2
59,22,2
172,42,1
78,35,1
16,60,2
42,198,1
190,96,2
53,127,2
194,66,1
173,43,1
185,17,2
17,61,2
9,57,1
83,6,1
198,72,2
137,62,2
136,17,1
73,77,1
174,129,1
11,102,1
85,51,2
92,176,2
4,63,2
131,167,2
137,98,1
123,163,2
124,128,2
29,156,2
143,141,1
48,169,2
160,81,1
88,62,1
173,20,2
199,158,1
37,96,2
93,176,1
187,40,2
158,13,2
104,42,2
54,41,1
20,48,1
11,79,1
138,40,2
156,88,2
102,117,1
75,100,1
72,94,1
158,134,2
119,26,1
171,73,1
54,162,1
0,191,1
33,139,2
6,5,2
183,83,1
143,10,2
8,51,1
187,53,1
193,96,2
116,29,1
183,168,1
128,3,1
165,150,2
112,144,1
63,139,1
136,92,1
81,156,1
47,14,2
107,65,2
99,61,1
5,17,2
22,106,2
74,153,1
160,156,2
195,34,1
72,192,1
179,26,1
110,75,1
55,139,1
61,70,1
47,135,1
168,16,2
19,73,2
118,195,2
138,30,1
130,26,1
88,29,1
170,98,1
28,14,2
19,194,1
111,48,2
192,122,2
57,77,2
103,193,1
156,19,2
101,83,1
0,37,2
16,161,2
31,24,1
185,82,2
76,175,1
177,78,1
130,3,2
29,100,2
140,196,1
166,105,2
164,144,2
56,53,1
110,173,2
150,17,1
8,162,2
27,175,2
188,129,2
5,7,1
31,145,2
131,3,1
9,14,2
61,24,1
160,146,1
179,16,1
110,65,2
29,77,1
174,86,2
6,93,1
85,8,2
38,162,1
39,41,2
9,135,1
130,16,1
190,30,1
88,19,1
170,88,1
2,95,1
62,146,1
141,30,1
92,25,1
186,181,2
38,54,1
137,176,1
145,0,2
164,13,2
35,128,2
196,82,1
62,2,1
48,67,2
27,44,1
56,187,2
131,101,2
190,187,2
75,57,2
126,22,2
4,33,1
186,73,1
90,185,2
164,134,2
54,119,2
179,150,2
39,139,2
32,100,2
65,48,1
149,127,1
189,163,2
161,101,1
173,75,1
179,6,2
174,40,2
45,155,2
70,99,1
78,103,2
130,150,2
17,93,1
196,95,2
83,38,1
84,3,2
95,12,1
0,40,1
195,99,2
45,191,1
12,14,2
65,169,1
89,197,1
10,53,1
183,161,1
79,189,1
140,19,1
159,69,2
43,86,2
74,110,1
26,33,2
59,67,1
4,131,1
133,16,1
193,30,2
190,141,1
153,110,1
155,40,2
174,53,2
178,23,1
75,47,2
21,76,1
155,76,1
81,90,2
195,112,2
38,165,2
158,81,2
199,82,1
105,75,1
0,138,2
148,36,1
12,112,2
191,114,2
151,41,2
186,148,1
16,82,2
26,46,1
181,69,1
93,185,1
173,65,2
70,89,2
10,187,2
17,83,2
76,132,1
156,12,1
197,13,2
136,183,1
143,42,1
114,15,1
25,23,2
151,162,2
198,94,2
159,23,2
178,36,2
56,10,1
36,181,1
190,10,1
122,104,1
27,132,2
129,0,1
133,150,2
45,37,1
145,124,2
65,15,1
110,166,2
149,94,2
101,17,1
41,152,2
60,165,1
162,33,2
155,174,2
141,10,1
13,90,1
59,57,2
133,6,2
99,93,1
118,106,1
105,173,2
17,60,2
2,160,1
36,73,2
196,62,1
83,5,2
28,69,1
171,118,1
182,127,2
38,119,2
151,139,1
2,196,2
104,64,2
136,16,2
87,11,2
27,109,1
159,36,2
157,75,2
20,106,2
106,109,1
55,63,1
41,165,1
47,59,1
108,191,2
176,66,2
40,56,1
155,43,2
25,13,2
24,197,2
70,164,2
98,146,1
184,186,2
196,160,1
190,0,1
168,61,2
18,153,2
86,28,1
30,127,2
158,133,2
185,150,2
98,2,2
75,135,2
166,173,1
18,9,1
100,48,2
90,34,1
78,145,2
158,25,1
98,123,2
144,90,1
77,100,2
196,137,1
116,28,1
61,92,1
136,6,1
47,157,2
161,179,2
19,95,2
180,49,2
79,146,1
36,184,2
22,20,2
150,26,1
95,90,1
6,161,2
198,182,2
130,84,1
62,178,2
48,14,1
34,116,2
53,129,1
199,183,1
6,17,2
69,73,2
129,124,2
135,18,1
32,191,1
79,123,2
16,183,1
31,46,1
2,19,1
156,77,2
48,135,1
74,44,2
106,76,2
63,151,2
130,61,2
142,35,1
173,22,1
199,160,1
105,153,1
111,47,1
22,118,2
61,46,2
67,126,2
92,70,1
179,38,2
24,164,2
98,113,1
10,0,1
169,173,1
61,82,2
1,180,1
99,194,1
100,159,1
180,39,1
125,103,1
30,94,1
17,161,2
9,157,1
130,38,1
69,171,1
55,7,2
59,14,1
44,114,2
72,96,2
124,143,2
171,75,1
2,117,2
0,193,1
25,137,2
86,116,1
165,31,2
49,85,2
59,135,2
19,62,2
20,27,1
198,64,1
105,22,2
195,144,1
92,168,1
185,130,1
170,87,2
35,42,1
76,43,2
1,49,2
188,141,2
173,12,1
100,28,1
119,41,1
157,153,2
86,129,1
199,6,1
16,150,1
145,35,1
83,60,1
7,101,1
54,33,2
154,120,2
93,24,1
177,103,2
150,6,1
52,108,1
17,7,2
116,129,2
122,172,1
128,103,2
127,138,1
19,196,2
